,names,main_category,keywords,ratings
0,대포항,랜드마크,즐길거리 & 랜드마크,4.423076923076923
1,타워갤러리,랜드마크,아트갤러리,4.6
2,방짜유기박물관,랜드마크,전문 박물관,4.25
3,남산 케이블카,랜드마크,전차,4.358516483516484
4,화순적벽 관광지,랜드마크,자연 & 야생동물 서식지,5.0
5,수성아쿠아수영장,랜드마크,스포츠 컴플렉스,4.6
6,완도타워,랜드마크,전망대 & 타워,4.6875
7,동제미술관,랜드마크,아트뮤지엄,4.4
8,통영옻칠미술관,랜드마크,아트뮤지엄,4.916666666666667
9,평화의 소녀상,랜드마크,기념비 및 동상,4.916666666666667
10,경인 아라뱃길,랜드마크,물길,4.5
11,하나개해수욕장,랜드마크,해변,4.666666666666667
12,도림사,랜드마크,신성한 & 종교적인 장소,5.0
13,갑사,랜드마크,신성한 & 종교적인 장소,4.617647058823529
14,성주 한개마을,랜드마크,"역사적인 장소, 인근 지역, 즐길거리 & 랜드마크",5.0
15,도당공원,랜드마크,공원,4.5
16,클레이아크 김해 미술관,랜드마크,아트뮤지엄,4.596153846153846
17,혼인지,랜드마크,유서 깊은 산책로,3.8333333333333335
18,고산층,랜드마크,지층,4.5
19,솔찬공원,랜드마크,"즐길거리 & 랜드마크, 부두 & 보드워크, 경관이 좋은 산책로",4.5
20,봉산문화회관,랜드마크,"아트갤러리, 극장",4.681818181818182
21,봉곡사,랜드마크,신성한 & 종교적인 장소,4.666666666666667
22,정선아리랑제,랜드마크,문화 이벤트,4.681818181818182
23,보령 충청수영성,랜드마크,"역사적인 장소, 성, 경관이 좋은 산책로",5.0
24,식장산,랜드마크,산,4.55
25,용연동굴,랜드마크,동굴,4.590909090909091
26,류미재 갤러리 하우스,랜드마크,아트갤러리,5.0
27,계명아트센터,랜드마크,극장,4.333333333333333
28,달아공원,자연 / 공원,자연 & 야생동물 서식지,4.5
29,호평성당,자연 / 공원,교회 & 성당,5.0
30,롯데 프리미엄 아울렛 - 기흥점,자연 / 공원,팩토리 아울렛,4.5
31,호명호수,자연 / 공원,물길,4.5
32,Cheongju Art Hall,자연 / 공원,아트갤러리,4.5
33,배론성지,자연 / 공원,"역사적인 장소, 즐길거리 & 랜드마크, 교회 & 성당",4.875
34,운보의 집,자연 / 공원,"즐길거리 & 랜드마크, 아트뮤지엄",5.0
35,계양산,자연 / 공원,산,4.467741935483871
36,산지등대,자연 / 공원,등대,4.5
37,대전아쿠아리움,자연 / 공원,"동물원, 수족관",4.125
38,땅끝 전망대,자연 / 공원,관측소 & 천체투영관,4.321428571428571
